header.seq,header.frame_id,inputTime,pose.position.x,pose.position.y,pose.position.z,pose.orientation.w,pose.orientation.x,pose.orientation.y,pose.orientation.z
1,1,0,0,0,0,3.74939945665464e-33,-6.12323399573677e-17,1,6.12323399573677e-17
2,1,0.0166666667,3.63616662182818e-15,1.73158824000295e-13,0.0002666667,6.69576048841034e-12,5.26731385485047e-08,1,-3.18860544594910e-10
3,1,0.0333333333,5.55644594555330e-14,2.64605918129072e-12,0.0010581259,2.23314883842688e-11,1.78793242464271e-07,1,-1.06348923468720e-09
4,1,0.05,2.52966237728666e-13,1.20468254566504e-11,0.0023559139,4.03181058102134e-11,3.34422411621240e-07,1,-1.92020339665135e-09
5,1,0.0666666667,7.08726348573314e-13,3.37521651052358e-11,0.0041403225,5.73655539765241e-11,5.00917142667259e-07,1,-2.73241095192600e-09
6,1,0.0833333333,1.52921807250759e-12,7.28299617048693e-11,0.0063919309,7.17440432765031e-11,6.68291560847997e-07,1,-3.41776203707260e-09
7,1,0.1,2.80308976290051e-12,1.33505452094801e-10,0.0090916202,8.26174730716572e-11,8.31444819123039e-07,1,-3.93642703555227e-09
8,1,0.1166666667,4.59610383239730e-12,2.18915383659742e-10,0.0122205793,8.96522059181871e-11,9.87812814854538e-07,1,-4.27247994332322e-09
9,1,0.1333333333,6.94934472727665e-12,3.31022453904557e-10,0.0157603101,9.28100563100237e-11,1.13616845491686e-06,1,-4.42404900889961e-09
10,1,0.15,9.87935724367268e-12,4.70621578415294e-10,0.0196926323,9.22348903171500e-11,1.27598961681306e-06,1,-4.39792283223079e-09
11,1,0.1666666667,1.33794318820262e-11,6.37400726064256e-10,0.0239996877,8.81881951596429e-11,1.40712660700081e-06,1,-4.20648678694120e-09
12,1,0.1833333333,1.74215945086850e-11,8.30035268063709e-10,0.0286639439,8.10102016897279e-11,1.52962657003724e-06,1,-3.86587497015787e-09
