header.seq,header.frame_id,inputTime,pose.position.x,pose.position.y,pose.position.z,pose.orientation.w,pose.orientation.x,pose.orientation.y,pose.orientation.z
1,1,0,0,0,0,6.12323399573677e-17,-1,0,0
2,1,0.0166666667,-2.78098493522765e-15,-1.32434480797948e-13,-6.73458618919614e-20,-2.91599163159495e-10,-0.999999999999999,4.81697835550416e-08,-6.12326039161804e-12
3,1,0.0333333333,-4.26220622479435e-14,-2.02975561032532e-12,-2.35886973068120e-20,-9.69997387320929e-10,-0.999999999999986,1.65512188632883e-07,-2.03672968384077e-11
4,1,0.05,-1.94195101016018e-13,-9.24839984603959e-12,5.59018724123146e-19,-1.72510173842968e-09,-0.999999999999951,3.13719083517086e-07,-3.62169283504516e-11
5,1,0.0666666667,-5.42254718058655e-13,-2.58262081918575e-11,1.53433945618318e-18,-2.38631918974108e-09,-0.999999999999887,4.75033589596027e-07,-5.00877038763182e-11
6,1,0.0833333333,-1.16165318294303e-12,-5.53312418068758e-11,2.35324973243595e-18,-2.87532192373593e-09,-0.999999999999796,6.39167705766117e-07,-6.03356490266645e-11
7,1,0.1,-2.10802407612951e-12,-1.00417964395974e-10,2.90063126585082e-18,-3.16876803355153e-09,-0.99999999999968,8.00427324610332e-07,-6.64730482997725e-11
8,1,0.1166666667,-3.41488158041926e-12,-1.62688527578584e-10,3.42196808885918e-18,-3.27297766545548e-09,-0.999999999999543,9.55711916512825e-07,-6.86355263590249e-11
9,1,0.1333333333,-5.09421803763314e-12,-2.42720512883840e-10,3.76749530175581e-18,-3.20917453047316e-09,-0.999999999999391,1.10340088522250e-06,-6.72714752198952e-11
10,1,0.15,-7.13886656022780e-12,-3.40178763153055e-10,4.05351740060793e-18,-3.00503563474849e-09,-0.999999999999228,1.24271567619557e-06,-6.29642909246741e-11
11,1,0.1666666667,-9.52563480925635e-12,-4.53964057535227e-10,4.43156118624551e-18,-2.68992498372653e-09,-0.999999999999057,1.37335580581422e-06,-5.63321776996899e-11
12,1,0.1833333333,-1.22186490436342e-11,-5.82371950634405e-10,4.61981374495883e-18,-2.29226308540292e-09,-0.999999999998882,1.49529105490531e-06,-4.79729153532872e-11
13,1,0.2,-1.51725988370737e-11,-7.23247033490646e-10,4.45853274959662e-18,-1.83813806186984e-09,-0.999999999998706,1.60864281578982e-06,-3.84347527547816e-11
14,1,0.2166666667,-1.83357188546445e-11,-8.74124811973952e-10,4.29413917453024e-18,-1.35064098376225e-09,-0.999999999998532,1.71361632976572e-06,-2.82025378063784e-11
15,1,0.2333333333,-2.16524291923881e-11,-1.03235744362796e-09,4.15750205339608e-18,-8.49624796641225e-10,-0.999999999998361,1.81046197685068e-06,-1.76927508183252e-11
16,1,0.25,-2.50656055020687e-11,-1.19522193905425e-09,3.73237322519745e-18,-3.51710563923959e-10,-0.999999999998196,1.89945315299861e-06,-7.25372937642166e-12
17,1,0.2666666667,-2.85184791086631e-11,-1.36001081443534e-09,2.78471042749186e-18,1.29563398743411e-10,-0.999999999998038,1.98087362008115e-06,2.83111450273272e-12
18,1,0.2833333333,-3.19561840393295e-11,-1.52410597938417e-09,1.64319567087433e-18,5.83512458268005e-10,-0.999999999997889,2.05501026754204e-06,1.23384063706459e-11
19,1,0.3,-3.53269772248846e-11,-1.68503709116494e-09,4.38391717231635e-19,1.00203489442990e-09,-0.999999999997748,2.12214896752747e-06,2.10990606388592e-11
20,1,0.3166666667,-3.85831629667046e-11,-1.84052583993701e-09,-1.05477394259863e-18,1.37932374015180e-09,-0.999999999997618,2.18257220008991e-06,2.89921781915593e-11
21,1,0.3333333333,-4.16817547789614e-11,-1.98851772854703e-09,-2.60576349084687e-18,1.71157652524662e-09,-0.999999999997499,2.23655769286637e-06,3.59389065204763e-11
22,1,0.35,-4.45849079739346e-11,-2.12720292448853e-09,-4.20710108615539e-18,1.99671234125349e-09,-0.99999999999739,2.28437764371339e-06,4.18964655677507e-11
23,1,0.3666666667,-4.72601554856227e-11,-2.25502772294274e-09,-5.89797964628564e-18,2.23410301562302e-09,-0.999999999997294,2.32629827978458e-06,4.68524789797478e-11
24,1,0.3833333333,-4.96804777899460e-11,-2.37069808431765e-09,-7.58661295414245e-18,2.42432210215222e-09,-0.999999999997209,2.36257961212826e-06,5.08196927518447e-11
25,1,0.4,-5.18242356858788e-11,-2.47317661302965e-09,-9.55280033471562e-18,2.56891445736947e-09,-0.999999999997135,2.39347530516674e-06,5.38311272414115e-11
26,1,0.4166666667,-5.36749923483263e-11,-2.56167423281579e-09,-1.17956617365079e-17,2.67018754885592e-09,-0.999999999997073,2.41923261482518e-06,5.59356916408088e-11
27,1,0.4333333333,-5.52212485544553e-11,-2.63563769582098e-09,-1.42761956735199e-17,2.73102477145397e-09,-0.999999999997023,2.44009236874836e-06,5.71942660165800e-11
28,1,0.45,-5.64561124387776e-11,-2.69473394277419e-09,-1.68285915396016e-17,2.75472101914861e-09,-0.999999999996983,2.45628897325612e-06,5.76762524497251e-11
29,1,0.4666666667,-5.73769225829277e-11,-2.73883221081715e-09,-1.89067046269475e-17,2.74483956512271e-09,-0.999999999996954,2.46805043810540e-06,5.74565809253358e-11
30,1,0.4833333333,-5.79848407724878e-11,-2.76798466941180e-09,-2.05423714890547e-17,2.70508931948193e-09,-0.999999999996936,2.47559841380597e-06,5.66131448583121e-11
31,1,0.5,-5.82844284108494e-11,-2.78240625367626e-09,-2.19995662249433e-17,2.63922157399436e-09,-0.999999999996927,2.47914823832770e-06,5.52246425924597e-11
32,1,0.5166666667,-5.82832183712747e-11,-2.78245425872045e-09,-2.36014145484842e-17,2.55094440668313e-09,-0.999999999996928,2.47890899124271e-06,5.33687924319535e-11
33,1,0.5333333333,-5.79912920319186e-11,-2.76860816210862e-09,-2.55798431263107e-17,2.44385335341787e-09,-0.999999999996937,2.47508355405009e-06,5.11208895532437e-11
34,1,0.55,-5.74208693740552e-11,-2.74145005289966e-09,-2.75611510217326e-17,2.32137700152784e-09,-0.999999999996955,2.46786867583115e-06,4.85526752406756e-11
35,1,0.5666666667,-5.65859183226556e-11,-2.70164596461705e-09,-2.92378117757947e-17,2.18673566185811e-09,-0.99999999999698,2.45745504360559e-06,4.57314858339006e-11
36,1,0.5833333333,-5.55017879880004e-11,-2.64992833798458e-09,-3.09304474090372e-17,2.04291180112742e-09,-0.999999999997013,2.44402735691385e-06,4.27196393454184e-11
37,1,0.6,-5.41848691626594e-11,-2.58707977530398e-09,-3.29224420084015e-17,1.89263062123732e-09,-0.999999999997053,2.42776440622921e-06,3.95740369826388e-11
38,1,0.6166666667,-5.26522842603701e-11,-2.51391819307509e-09,-3.51326752159162e-17,1.73834911716268e-09,-0.999999999997099,2.40883915485445e-06,3.63459486509628e-11
39,1,0.6333333333,-5.09216078835087e-11,-2.43128343288993e-09,-3.76133497231885e-17,1.58225273947058e-09,-0.99999999999715,2.38741882399378e-06,3.30809446868239e-11
40,1,0.65,-4.90106183989549e-11,-2.34002534954737e-09,-4.05435777149918e-17,1.42625799360318e-09,-0.999999999997206,2.36366498071719e-06,2.98189574724886e-11
41,1,0.6666666667,-4.69370801985846e-11,-2.24099336276265e-09,-4.34938028126279e-17,1.27201978625033e-09,-0.999999999997267,2.33773362854910e-06,2.65944467422129e-11
42,1,0.6833333333,-4.47185557551428e-11,-2.13502743261240e-09,-4.60960107970347e-17,1.12094312631284e-09,-0.999999999997332,2.30977530043196e-06,2.34366428552230e-11
43,1,0.7,-4.23722461545561e-11,-2.02295039572686e-09,-4.87414111667984e-17,9.74197458100493e-10,-0.999999999997401,2.27993515381790e-06,2.03698525395010e-11
44,1,0.7166666667,-3.99148584461310e-11,-1.90556158433715e-09,-5.06183079880017e-17,8.32733134839385e-10,-0.999999999997472,2.24835306766420e-06,1.74138095242073e-11
45,1,0.7333333333,-3.73624979075676e-11,-1.78363163864494e-09,-5.20887823263321e-17,6.97299485840284e-10,-0.999999999997546,2.21516374110961e-06,1.45840520469269e-11
46,1,0.75,-3.47305831707280e-11,-1.65789841451495e-09,-5.35365842054913e-17,5.68463450566595e-10,-0.999999999997623,2.18049679361998e-06,1.18923190623191e-11
