posetime,poseset,x,y,z,qx,qy,qz,qw,twistime,twistset,vx,vy,vz
1458160224.925145250,1,-0.000882905,-0.00146926,0.0039019,-0.999202,0.00407066,-0.0049489,-0.00267595,1458160224.925147876,1,-1.45638e-05,-2.4236e-05,6.43632e-05
1458160224.942141015,1,4.29262e-05,-0.000181797,0.00221244,-0.998797,0.00150985,-0.003031,-0.00234824,1458160224.942144809,1,0.00679437,0.00944479,-0.0123652
1458160224.958534449,1,-0.000927728,-0.00144627,8.58506e-05,-1.00094,0.00238313,-0.00213007,-0.0021156,1458160224.958537211,1,-0.00922274,-0.0115668,-0.0407567
1458160224.975400579,1,0.000514778,-0.000333064,0.00052591,-1.00117,-0.000477191,-0.000675969,-0.00307292,1458160224.975412432,1,0.017921,0.0106395,-0.0217323
1458160224.991908518,1,-0.000986467,0.000318796,0.00227181,-1.00062,-0.00243761,-8.84157e-05,-0.00406396,1458160224.991912985,1,-0.0111592,0.0183223,0.0123377
1458160225.009183182,1,-0.00198932,0.000484432,0.00205648,-0.999619,-0.00127184,-0.00188308,-0.00643296,1458160225.009188514,1,-0.0230408,0.0163115,0.00625447
1458160225.025503679,1,-0.00236835,0.000805392,0.0023799,-0.999696,-0.000475439,-0.00160997,-0.00376453,1458160225.025507527,1,-0.0230074,0.0169576,0.00910432
1458160225.042467452,1,-0.00494022,0.000705881,-0.000106563,-0.99942,-0.000305487,-0.000766629,-0.00349757,1458160225.042473032,1,-0.048259,0.0125708,-0.0212675
1458160225.058742656,1,-0.00225696,0.000571652,0.000284649,-0.998291,-0.00200668,-0.00188211,-0.0020764,1458160225.058745966,1,-0.0121548,0.00900278,-0.0135839
1458160225.075320856,1,-0.00134095,0.000476199,-0.00010785,-0.997488,-0.000912641,-0.00228354,-0.00163464,1458160225.075332078,1,-0.00154218,0.00667343,-0.0151901
1458160225.092019957,1,-0.00162281,0.00124057,0.000245756,-0.998514,0.000318454,-0.000675038,-0.000210092,1458160225.092023292,1,-0.0036703,0.0123326,-0.00993975
1458160225.108740389,1,-4.03746e-05,0.000951257,0.00113411,-0.998642,0.000356729,9.05835e-05,0.000467551,1458160225.108745926,1,0.00974723,0.00834075,-0.00138957
1458160225.125327077,1,-0.00127423,-0.00131361,0.000297905,-0.9977,0.000130371,0.00112502,0.00185237,1458160225.125330360,1,-0.000705098,-0.0100606,-0.00751324
1458160225.142044462,1,-0.00102892,-0.00146647,0.00126803,-0.998009,-0.000704593,0.000598018,0.0019813,1458160225.142048062,1,0.00124759,-0.0102249,0.000476515
1458160225.158757054,1,-0.000932,-0.00109112,0.000278834,-0.998365,-0.000769772,-0.000838167,0.00227836,1458160225.158760346,1,0.00189429,-0.00666133,-0.00638657
1458160225.175374690,1,-0.000463671,-0.000251116,0.000159646,-0.997697,5.05277e-05,-0.000768781,0.00186007,1458160225.175378266,1,0.00500934,-0.000335471,-0.00647792
1458160225.192016008,1,-8.17219e-05,0.000727542,0.000245607,-0.997506,9.75732e-05,-0.000774412,0.00113052,1458160225.192019467,1,0.0072221,0.00628049,-0.00517683
1458160225.208724295,1,-0.000531669,3.40332e-05,0.000819027,-0.99836,7.62175e-05,-0.0003481,-3.08184e-05,1458160225.208727769,1,0.00365947,0.00110701,-0.000723817
1458160225.225340630,1,-0.000386197,0.000525418,0.000426238,-0.998678,0.000426433,0.000452033,-0.00081127,1458160225.225344051,1,0.00435465,0.00426913,-0.00309289
1458160225.242020361,1,-0.000348334,0.000618313,-0.000291092,-0.999667,-0.000103818,0.00093908,0.000465172,1458160225.242025698,1,0.00426981,0.00452728,-0.00749159
1458160225.258857147,1,0.000170647,0.000418657,0.000547343,-0.999976,-0.000329437,0.00166148,-0.000330565,1458160225.258860638,1,0.00745202,0.0027762,-0.00104556
1458160225.275437963,1,0.00090459,0.000382508,0.000642131,-0.999546,-0.00104849,0.00159134,6.83936e-05,1458160225.275443065,1,0.0119098,0.00224707,-8.76072e-05
1458160225.292396617,1,0.00155294,0.000315036,-0.000659999,-1.00051,-0.00188755,0.0014613,0.000137783,1458160225.292402355,1,0.0154887,0.00152898,-0.00887458
1458160225.308706762,1,0.000910987,0.000354731,-0.000445785,-0.999938,-0.00186787,0.00166431,0.00056536,1458160225.308711762,1,0.0098106,0.00160266,-0.00655098
1458160225.325681367,1,0.000899123,0.000446275,-0.00147503,-1.00028,-0.00108704,0.00202755,0.000376106,1458160225.325686383,1,0.00888129,0.00203829,-0.0131016
1458160225.342128020,1,9.03332e-05,-2.91637e-05,-0.000860379,-1.00076,-0.00116824,0.00159471,0.000164786,1458160225.342132889,1,0.00237418,-0.00155194,-0.00763163
1458160225.358926721,1,-0.000576944,-0.000682042,6.40307e-05,-1.0012,-0.000437144,0.00188544,0.000517666,1458160225.358931798,1,-0.00271275,-0.00615447,-0.000317419
1458160225.375472718,1,-0.000498545,-3.39609e-05,-6.32225e-05,-1.00244,-0.000837541,0.00117638,0.00024465,1458160225.375477743,1,-0.00218866,-0.00126527,-0.000914369
1458160225.392654261,1,0.000509901,-0.000178577,-0.000614781,-1.00229,-0.000743512,0.00075678,0.000333819,1458160225.392659193,1,0.0048339,-0.00226451,-0.00445467
1458160225.408746078,1,-1.40083e-06,0.000689278,0.00020259,-1.00278,-0.00104237,0.000788223,0.00112163,1458160225.408751441,1,0.000775881,0.00386296,0.00178262
1458160225.425340184,1,0.000233807,3.59592e-05,-0.000124074,-1.00352,-0.000577827,0.000664953,0.00132629,1458160225.425345506,1,0.00216776,-0.000954489,-0.000339464
1458160225.442172630,1,7.68628e-05,-0.000344501,-0.000596714,-1.00313,-9.33338e-05,-0.000987016,0.000761497,1458160225.442177300,1,0.00078384,-0.00354847,-0.00330949
